grant_year,grantee_name,grant_amount,grantee_location,grant_purpose,grantee_url,grantor_program
2014,Center Against Rape and Domestic Violence (CARDV),5000,Corvallis,To support its emergency shelter program,http://cardv.org/,
2014,Casa de Belen,10000,Roseburg,To fund the residency of three homeless teens for one year,http://www.casadebelen.org/index.html,
2014,Cascade Youth and Family Center,10000,Bend,To support the LOFT program,http://cascadeyouthandfamilycenter.org/,
2014,Domestic Violence Services,10000,Pendleton,To support general operating expenses,http://www.domesticviolenceservices-or.org/,
2014,Dress for Success,10000,Portland,To support general operating expenses,https://oregon.dressforsuccess.org/,
2014,Family Building Blocks,15000,Salem,To support its Therapeutic Education program in Marion and Polk Counties,http://www.familybuildingblocks.org/,
2014,Grant County Senior Citizens Association,14600,John Day,To replace outdated commercial ovens,,
2014,Liberty House,10000,Salem,To partially cover the costs of funding a specially trained pediatrician,http://www.libertyhousecenter.org/,
2014,Mid-Valley Women’s Crisis Service,5000,Salem,To purchase emergency hotel vouchers,http://www.mvwcs.com/,
2014,Salem Harvest,4100,Salem,"To purchase equipment, and for operational costs",http://www.salemharvest.org/index.php,
2014,Shelter Care,10000,Eugene,To support its New Start program,http://www.sheltercare.org/,
2014,Southside Youth Outreach,8000,Corvallis,To provide scholarships for its ACES program,http://ssyocorvallis.org/,
2014,Wheeler County Community Schools,15000,Spray,For the continuation and enhancement of its academic achievement and community school enrichment programs in Spray and Mitchell,http://www.wheelercountyschools.org/,
2014,Willamette Academy,5000,Salem,To support general operating expenses,http://willamette.edu/community/academy/,
